اسم المنطقة/الحي,لواء (متصرفية),مديرية الشرطة,مركز الأمن العام الأقرب,العنوان التقريبي,خط العرض,خط الطول
دابوق,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,دابوق,31.9881,35.8113
دارة الفكر,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,دارة الفكر,31.9620,35.8710
درودة,لواء وادي السير,مديرية شرطة جنوب عمان,مركز أمن البيادر,درودة,31.9400,35.8550
دعم الغزالات,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,دعم الغزالات,32.0809,35.7193
دوار أنس,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار أنس,32.0658,36.0799
دوار ال جي كي,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار ال جي كي,32.0910,36.0891
دوار الأشرفية,لواء قصبة عمان,مديرية شرطة شرق عمان,مركز أمن الأشرفية,دوار الأشرفية,31.9383,35.9332
دوار الأميرة بسمة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن أبو نصير,دوار الأميرة بسمة,32.0373,35.8650
دوار الثقافة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار الثقافة,32.0485,36.0951
دوار الجمرك,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,دوار الجمرك,31.9007,35.9380
دوار الحاووز,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار الحاووز,32.0721,36.0894
دوار الحويان,لواء القويسمة,مديرية شرطة جنوب عمان,مركز أمن الجويدة,دوار الحويان,31.9003,35.9329
دوار الداخلية,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الشميساني,دوار الداخلية,31.9732,35.9095
دوار الدبابة,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن القويسمة,دوار الدبابة,31.9047,35.9647
دوار الدلة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار الدلة,32.0677,36.0718
دوار الرابية,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الشميساني,دوار الرابية,31.9740,35.8841
دوار الزهور,لواء قصبة عمان,مديرية شرطة جنوب عمان,مركز أمن جبل الزهور,دوار الزهور,31.9199,35.9232
دوار السخنة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,دوار السخنة,32.1293,36.0650
دوار السيف والدلة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن شفا بدران,دوار السيف والدلة,32.0914,35.9358
دوار الشعب,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,دوار الشعب,31.9735,35.8390
دوار الشميساني,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن الشميساني,دوار الشميساني,31.9645,35.9005
دوار الشيخ ابراهيم عبد الكريم ابو حديد,لواء سحاب,مديرية شرطة شرق عمان,مركز أمن سحاب,دوار الشيخ ابراهيم عبد الكريم ابو حديد,31.7026,35.9476
دوار الصقر,لواء القويسمة,مديرية شرطة شرق عمان,مركز أمن أحد,دوار الصقر,31.8121,36.1063
دوار الطيارة,لواء ناعور,مديرية شرطة جنوب عمان,مركز أمن ناعور,دوار الطيارة,31.7287,35.7841
دوار العمادة,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار العمادة,32.1030,36.1867
دوار القيسية,لواء قصبة عمان,مديرية شرطة وسط عمان,مركز أمن المهاجرين,دوار القيسية,31.9399,35.9076
دوار الكمالية,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن صويلح,دوار الكمالية,32.0289,35.8258
دوار الكيلو,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن تلاع العلي,دوار الكيلو,31.9745,35.8654
دوار المدفعية,لواء ماركا,مديرية شرطة شرق عمان,مركز أمن ماركا,دوار المدفعية,32.0773,36.1295
دوار المدينة,لواء الجامعة,مديرية شرطة شمال عمان,مركز أمن ضاحية الرشيد,دوار المدينة,31.9855,35.8977
